;;;;;;;;;;;
;;;1 CLP para controle de equipamento - UTA - 1 quadro com CLP por equipamento ;;;;;;;;
;;;;;;;;;;;
;Modelo ref.;ITEM;VALOR UNITÁRIO;QUANTIDADE;VALOR TOTAL;;;Atualizado em:;;;Material
QA-PNL-T2;QA-PNL-T2;Quadro de automação montado tipo 2; R$ 4.054,15 ;1; R$ 4.054,15 ;*Brato;;Brato 15/06/2021;;Cabo + Infra; R$ 164,50 
EPU305LCD;DP2500-R8;Sensor de Pressão Diferencial para Ar 0-2500 Pa; R$ 1.244,26 ;1; R$ 1.244,26 ;*Brato;;Brato 11/06/2021;;MO; R$ 74,03 
SXWSBTXXXSXX;TR40-H;Sensor Temperatura e Umidade sem Display; R$ 985,52 ;1; R$ 985,52 ;*Brato;;Brato 11/06/2021;;Total; R$ 238,53 
PAS01;A-DPS;PRESSOSTATO FILTROS; R$ 195,85 ;3; R$ 587,55 ;*Brato;;Abril 2021;;;
;A-DPS;PRESSOSTATO ESTADO FUNC.; R$ 215,00 ;1; R$ 215,00 ;;;Abril 2021;;;
;;"VAG + ATUADOR entre 1.1/2"" e 3"""; R$ 2.650,00 ;1; R$ 2.650,00 ;;;;;;
;;"VVP + ATUADOR entre 1"" e 2"""; R$ 3.210,00 ;1; R$ 3.210,00 ;;;;;;
SXWRPV5A10001;PVB4022AS;Controlador de Caixa de VAV BACnet - Spyder; R$ 3.926,91 ;; R$ -   ;*Brato;;Brato 11/06/2021;;;
QE-PNL-T1;QA-PNL-VAV;Quadro de Alimentação do Controlador de VAV; R$ 913,85 ;; R$ -   ;*Brato;;Brato 11/06/2021;;;
MT8071IP;IHM101K2E;"IHM 7"""; R$ 3.338,46 ;; R$ -   ;Valor CLP - Mínimo R$ 4.000,00;*Brato;Brato 11/06/2021;;;
;;ENTRADA ANALÓGICA; R$ 565,00 ;3; R$ 1.695,00 ; R$ 5.600,00 ;;;;;
;;SAÍDA ANALÓGICA; R$ 565,00 ;5; R$ 2.825,00 ;;;;;;
;;ENTRADA DIGITAL; R$ 120,00 ;4; R$ 480,00 ;;;;;;
;;SAÍDA DIGITAL; R$ 120,00 ;5; R$ 600,00 ;;;;;;
;;SERVIÇOS LÓGICA; R$ -   ;1; R$ 1.008,00 ;;;;;;
;;TOTAL;;; R$ 19.554,48 ;;;;;;
;;;;;;;;;;;
;;AMBIENTES - MESMO CLP DAS UTAS;;;;;;;;;
;;ITEM;VALOR UNITÁRIO;QUANTIDADE;VALOR TOTAL;;;Atualizado em:;;;
;TPDV-400 Instrutherm;Transmissor pressão dif. Para ar c/ display; R$ 1.280,29 ;1; R$ 1.280,29 ;*Brato;;Internet Julho 2021;;;
;WM-485-LCD novus;Transmissor de temperatura c/ display; R$ 1.407,03 ;1; R$ 1.407,03 ;*Brato;;Internet Julho 2021;;;
;WM-485-LCD novus;Transmissor de umidade c/ display; R$ 1.407,03 ;1; R$ 1.407,03 ;*Brato;;Internet Julho 2021;;;
;WM-485-LCD novus;Transmissor de temp./umid. c/ display; R$ 1.407,03 ;1; R$ 1.407,03 ;*Brato;;Internet Julho 2021;;;
;;Entrada analógica; R$ 565,00 ;4; R$ 2.260,00 ;;;;;;
;;SERVIÇOS LÓGICA; R$ -   ;1; R$ 1.707,50 ;;;;;;
;;TOTAL;;; R$ 9.468,88 ;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;Custo Supervisão - Até 200 pontos de monitoramento;;;;;;;;
;;;;;;;;;;;
;;ITEM;VALOR UNITÁRIO;QUANTIDADE;VALOR TOTAL;;;Atualizado em:;;;
;;;;;;;;;;;
;;Licença Supervisão (Elipse) + Desenvolvimento; R$ 35.500,00 ;1; R$ 35.500,00 ;;;;;;
;;Estação de trabalho (PC + Monitor); R$ 5.700,00 ;1; R$ 5.700,00 ;;;;;;
;;Documentação CFR (OPCIONAL); R$ 15.000,00 ;; R$ -   ;;;;;;
;;TOTAL;;; R$ 41.200,00 ;;;;;;
;;;;;;;;;;;
;;TOTAL SISTEMA;;; R$ 29.023,36 ;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Controlador Programável BACnet IP MP-C-24A; R$ 5.794,18 ;;;*Brato;;;;;
;;Modelo: SXWMPC24A10001;;;;;;;;;
;;;;;;;;;;;
;;Sensor de temperatura e umidade ambiente com ajuste de Setpoint; R$ 1.211,83 ;;;*Brato;;;;;
;;Modelo: SLASLX2;;;;;;;;;
