;;;;;;;;;;
;;1 CLP para controle de equipamento - UTA - 1 quadro com CLP por equipamento ;;;;;;;;
;;;;;;;;;;
Modelo ref.;ITEM;VALOR UNITÁRIO;QUANTIDADE;VALOR TOTAL;;;Atualizado em:;;;Material
QA-PNL-T7;Quadro de automação montado - Tipo 7; R$ 8.228,77 ;1; R$ 8.228,77 ;*Brato;;Brato 11/06/2021;;Cabo + Infra; R$ 164,50 
EPW105;Transmissor de Pressão Diferencial para Água ; R$ 3.584,09 ;2; R$ 7.168,18 ;*Brato;;Brato 11/06/2021;;MO; R$ 74,03 
5123172000;Sensor de Temperatura para Água - 20k NTC; R$ 404,26 ;1; R$ 404,26 ;*Brato;;Brato 11/06/2021;;Total; R$ 238,53 
TUF;Sensor de Vazão de Água tipo Turbina; R$ 6.923,08 ;1; R$ 6.923,08 ;*Brato;;Brato 11/06/2021;;;
;STATUS CHILLER; R$ 45,00 ;1; R$ 45,00 ;;;;;;
;L/D CHILLER; R$ 45,00 ;1; R$ 45,00 ;;;;;;
;FALHA CHILLER; R$ 45,00 ;1; R$ 45,00 ;;;;;;
140-PP-05;CHAVE FLUXO CHILLER; R$ 269,86 ;1; R$ 269,86 ;*Brato;;;;;
;"VALVULA BORBOLETA BLOQUEIO CHILLER (ENTRE 4"" E 6"")"; R$ 5.200,00 ;1; R$ 5.200,00 ;;;;;;
;"VÁLVULA BY PASS (ATÉ 2"")"; R$ 1.650,00 ;0; R$ -   ;;;;;;
;STATUS BOMBA; R$ 45,00 ;6; R$ 270,00 ;;;;;;
;VARIAÇÃO FREQUÊNCIA BOMBAS; R$ 45,00 ;6; R$ 270,00 ;;;;;;
;NÍVEL TANQUE REPOSIÇÃO; R$ 45,00 ;1; R$ 45,00 ;;;;;;
MT8071IP;"IHM 7"""; R$ 3.338,46 ;; R$ -   ;Valor CLP - Mínimo R$ 4.000,00;*Brato;Brato 11/06/2021;;;
;ENTRADA ANALÓGICA; R$ 565,00 ;4; R$ 2.260,00 ; R$ 7.090,00 ;;;;;
;SAÍDA ANALÓGICA; R$ 565,00 ;6; R$ 3.390,00 ;;;;;;
;ENTRADA DIGITAL; R$ 120,00 ;10; R$ 1.200,00 ;;;;;;
;SAÍDA DIGITAL; R$ 120,00 ;2; R$ 240,00 ;;;;;;
;SERVIÇOS LÓGICA; R$ -   ;1; R$ 6.851,44 ;;;;;;
;TOTAL;;; R$ 42.855,59 ;;;;;;
;;;;;;;;;;
;*Controlador Programável BACnet IP MP-C-36A; R$ 7.517,74 ;;;*Brato;;;;;
;Modelo: SXWMPC36A10001;;;;;;;;;
