;ESTIMATIVA PARA INFRA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
 INSTRUMENTAÇÃO ; TAG ; CABO ;QUANTIDADE;DISTÂNCIA MÉDIA; CABO ; INFRA ; Total Mat ; Total MO ; Total ;;;TAG;DESCRIÇÃO;;
Equipamentos;;;;;;;;;;;;;;;
Pressostato;PSH;PP 2x1,0;;; R$ 1,24 ; R$ 7,54 ; R$ -   ; R$ -   ; R$ -   ;;;HS;Chave manual;;
Atuadores;-;5x0,75mm+shield;;; R$ 4,20 ; R$ 7,54 ; R$ -   ; R$ -   ; R$ -   ;;;HSA;Chave de alarme manual;;
;;;;;;;;;;;;HSE;Chave manual de emergência;;
Chave de fluxo baixo;FSL;2x1,0mm;;; R$ 1,40 ; R$ 13,20 ; R$ -   ; R$ -   ; R$ -   ;;;JX;Variador de potência;;
Transmissor de fluxo;FT;3x1,0mm+Shield;;; R$ 2,40 ; R$ 13,20 ; R$ -   ; R$ -   ; R$ -   ;;Sala;MI;Indicador local de umidade;;
Sensor de fluxo;FE;3x1,0mm+Shield;;; R$ 2,40 ; R$ 13,20 ; R$ -   ; R$ -   ; R$ -   ;;Sala;ME;Sensor de umidade;;
Indicador de pressão (coluna U);PI-U;3x1,0mm+Shield;;; R$ 2,40 ; R$ 13,20 ; R$ -   ; R$ -   ; R$ -   ;;Sala;MT;Transmissor de umidade;;
Temperatura ;TI/TT/TE;5x0,75mm+shield;;; R$ 5,10 ; R$ 7,54 ; R$ -   ; R$ -   ; R$ -   ;;Sala;PI-M;Indicador de pressão (Manômetro);;
Umidade;MI/ME/MT;5x0,75mm+shield;;; R$ 5,10 ; R$ 7,54 ; R$ -   ; R$ -   ; R$ -   ;;;PI-U;Indicador de pressão (coluna U);;
;;;;;;;;;;;Sala/eq.;PE;Sensor de pressão;;
;;;;;;; Total Equipamentos ;; R$ -   ;;Sala/eq.;PDT;Transmissor de pressão diferencial;;
;;;;;;;;;;;;PSH;Chave de pressão alta (pressostato);;
;;;;;;;; Material ; R$ -   ;;;PSL;Chave de pressão baixa;;
;;;;;;;; Mão de obra ; R$ -   ;;;AS;Alarme de segurança;;
;;;;;;;;;;;;SC;Inversor de frequência;;
;;;;;;;;;;;;TSH;Chave de temperatura alta (Termostato);;
;;;;;;;;;;;Sala;TI;Indicador local de temperatura;;
;;;;;;;;;;;Sala;TT;Sensor de temperatura;;
;;;;;;;;;;;Sala;TE;Transmissor de temperatura;;
;;;;;;;;;;;;TCV;Válvula controladora de temperatura;;
;;;;;;;;;;;;IHM;Interface homem-máquina;;
;;;;;;;;;;;;XE;Sensor de oxigênio;;
;;;;;;;;;;;;XT;Transmissor de oxigênio;;
;;;;;;;;;;;;XI;Indicador de oxigênio;;
;;;;;;;;;;;;LSL;?;;
;;;;;;;;;;;;FSL;Chave de fluxo baixo;;
;;;;;;;;;;;;FT;Transmissor de fluxo;;
;;;;;;;;;;;;FE;Sensor de fluxo;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
